statement
Barium has the symbol Sb.
Yttrium has the symbol U.
Molybdenum has the symbol Np.
Strontium has the symbol Sn.
Mercury has the symbol Cl.
Uranium has the symbol Re.
Indium has the symbol As.
Palladium has the symbol Nd.
Rubidium has the symbol Kr.
Zinc has the symbol Fr.
Sodium has the symbol Lu.
Potassium has the symbol Al.
Antimony has the symbol Al.
Polonium has the symbol Tb.
Gold has the symbol Cr.
Chlorine has the symbol Cr.
Francium has the symbol Tl.
Beryllium has the symbol As.
Rhenium has the symbol Tm.
Erbium has the symbol Pr.
Actinium has the symbol Ar.
Cerium has the symbol Ne.
Arsenic has the symbol Re.
Thorium has the symbol Se.
Dysprosium has the symbol U.
Silver has the symbol Sb.
Xenon has the symbol F.
Phosphorus has the symbol Zn.
Fluorine has the symbol N.
Neon has the symbol Lu.
Ruthenium has the symbol Au.
Bromine has the symbol Mo.
Selenium has the symbol Na.
Aluminum has the symbol Sc.
Ytterbium has the symbol Mo.
Lithium has the symbol Sb.
Iron has the symbol Tl.
Cadmium has the symbol Ir.
Tungsten has the symbol Zr.
Gallium has the symbol Cs.
Manganese has the symbol Gd.
Calcium has the symbol P.
Chromium has the symbol Ru.
Argon has the symbol Co.
Magnesium has the symbol Br.
Zirconium has the symbol Eu.
Rhodium has the symbol Sn.
Bismuth has the symbol La.
Nitrogen has the symbol La.
Oxygen has the symbol Ne.
Lutetium has the symbol Be.
Praseodymium has the symbol Sc.
Scandium has the symbol Rn.
Niobium has the symbol Rh.
Neodymium has the symbol Ac.
Thallium has the symbol Sr.
Samarium has the symbol Pr.
Hydrogen has the symbol Pt.
Neptunium has the symbol Na.
Platinum has the symbol La.
Tin has the symbol Be.
Silicon has the symbol Rn.
Lanthanum has the symbol Po.
Gadolinium has the symbol Hg.
Hafnium has the symbol Nd.
Promethium has the symbol Dy.
Holmium has the symbol Tb.
Technetium has the symbol Ag.
Cobalt has the symbol Lu.
Helium has the symbol Xe.
Nickel has the symbol Rb.
Krypton has the symbol Nb.
Boron has the symbol Pm.
Copper has the symbol Ta.
Titanium has the symbol B.
Thulium has the symbol Ne.
Osmium has the symbol Rn.
Iridium has the symbol Fe.
Cesium has the symbol Tc.
Europium has the symbol Ga.
Carbon has the symbol In.
Germanium has the symbol Br.
Tellurium has the symbol O.
Lead has the symbol Na.
Sulfur has the symbol Cs.
Radium has the symbol Sm.
Protactinium has the symbol Ir.
Astatine has the symbol Mg.
Iodine has the symbol Nb.
Terbium has the symbol Ta.
Tantalum has the symbol Cs.
Radon has the symbol H.
Vanadium has the symbol Ba.
